time[sec],Gx[dps],Gy[dps],Gz[dps],Ax[mG],Ay[mG],Az[mG],ATotal[mG],Ts[deg.C],Ts[deg.F],GPIO[hex]
0,-1.25,-0.25,0.1125,77,-1023.25,-299.75,1069.0274,31.977,89.5586,600
0.001,2.8125,-0.15,0.2,46.875,-986.75,-132.5,996.7091,31.9813,89.5663,600
0.002,2.4,0.1,0.1875,26.25,-916.625,167.75,932.2181,31.9813,89.5663,600
0.003,-1.9375,0.15,0.2,24.25,-938.75,157.125,952.1176,31.977,89.5586,600
0.004,-3.7375,0.0875,0.3375,28.125,-1033,-149,1044.0694,31.977,89.5586,600
0.005,-0.275,0.2125,0.425,31.625,-1056,-286.125,1094.5335,31.9813,89.5663,600
0.006,3.325,0.2625,0.35,8.875,-978,-47,979.1689,31.977,89.5586,600
0.007,1.65,0.3,0.1375,-11.5,-900.5,212.625,925.3334,31.9855,89.574,600
0.008,-2.825,0.25,0.0875,-36.375,-970,111.125,977.022,31.977,89.5586,600
0.009,-3.2875,0.275,0.1625,-11.875,-1097.125,-191.875,1113.8403,31.9813,89.5663,600
0.01,0.975,0.225,0.225,-18,-1130,-228.375,1152.9871,31.9855,89.574,600
0.011,3.675,0.225,0.225,-27.875,-1047.75,43.875,1049.0387,31.9727,89.5509,600
0.012,1.175,0.25,0.05,-32.875,-962.875,232.5,991.093,31.977,89.5586,600
0.013,-2.75,0.2125,0,-79.25,-1004.125,72.25,1009.8355,31.977,89.5586,600
0.014,-2.1875,0.2875,-0.1875,-64,-1078.25,-189.25,1096.6014,31.977,89.5586,600
0.015,1.9,0.1375,-0.2125,-104.375,-1074.625,-151,1090.1899,31.977,89.5586,600
0.016,3.25,-0.05,-0.3125,-43.625,-995.125,122.25,1003.5547,31.9727,89.5509,600
0.017,-0.0625,-0.2125,-0.3875,-40.375,-950.875,216.5,976.0459,31.9855,89.574,600
0.018,-2.9875,-0.075,-0.475,-33.625,-1020.25,-17.375,1020.9518,31.977,89.5586,600
0.019,-1.0875,0.05,-0.5625,-35.375,-1091.75,-216.875,1113.6446,31.9855,89.574,600
0.02,2.7375,-0.1375,-0.5375,-55.5,-1056.625,-97.25,1062.5414,31.9855,89.574,600
